1941633	T30	che	subjected to quinidine, flecainide, lidocaine, propranolol and sotalol infusions. In crossover design, drugs were infused i.v. at rates allowing stable and nontoxic drug plasma levels during the experiment. Four-lead ECGs were recorded for arrhythmias for 30 min before (base line) and 75 min after onset of infusion. Ventricular cycle length was increased dramatically by sotalol, lidocaine and propranolol (+618 +/- 192, +388 +/- 125 and +329 +/- 114 msec, respectively) and QT interval was increased by sotalol, quinidine and flecainide (+56 +/- 8, +31 +/- 7.9 and +20 +/- 5.7 msec, respectively). Quinidine and sotalol, but not flecainide, propranolol or lidocaine, exhibited significant arrhythmogenic activities. During 	quinidine	 infusion, most dogs exhibited some ventricular arrhythmias whose most severe forms were runs of ventricular tachycardia. These arrhythmias were suppressed by pacing at high rates. During sotalol infusion, five out of six dogs exhibited typical "torsades de pointes." This incidence was not related to the slowing effects of sotalol on idioventricular pacemakers, because a similar incidence was obtained in five complementary dogs paced at 40 bpm. It could be related to dose, because torsades de pointes occurred only once in another group of five dogs receiving half the dose used in the controlled study. Only quinidine and sotalol, but not
25276639	T90	out	time to surgery and that to recovery from postoperative diplopia. METHODS: In the current single-center, retrospective study, we enrolled a total of 11 patients (n=11) who were diagnosed with white-eyed blowout fracture and underwent surgical operation at our institution between January 2009 and January 2013. To identify the correlation between the time to surgery and that to recovery from postoperative diplopia, we divided our patients into the three groups: the group A (time to surgery, <2 days) (n=4), the group B (time to surgery, 3-7 days) (n=4) and the group C (n=3) (time to surgery, 8-60 days). Then, we compared 	such variables	 as sex, age, signs of soft tissue injury, preoperative nausea/vomiting, the degree of preoperative diplopia and the side of the fracture on computed tomography scans between the three groups. RESULTS: In our series, mean age at the onset of trauma was nine years (range, 5-16 years); the mean time to surgery was 30 days (range, 2-60 days); and the mean follow-up period was one year (range, 6 months-2 years). Our results showed that the time to recovery was shorter in the patients with a shorter time to surgery. CONCLUSIONS: We found that the degree of recovery from impaired ocular motility
23888368	T19	che	cholecalciferol. We evaluated changes in maximal voluntary contraction (MVC) and speed of contraction (S) in response to cholecalciferol by using an hand held dynamometer at 3, 15, 30, 60 and 90 days, compared to baseline. RESULTS: We observed no significant change in MVC and S values, a significant increase of 25-hydroxyvitamin D [25(OH)D] and 1,25-dihydroxyvitamin D [1,25(OH)2D] and a significant decrease in serum parathyroid hormone (PTH) (p<0.001 for all). A significant correlation was found between MVC and S and serum phosphorus (P) after supplementation (p<0.02 and p<0.05, respectively). Conversely, we observed no association between the parameters of muscle strength and 	25(OH)D	, ionized calcium (Ca2+), PTH and 1,25(OH)2D. CONCLUSIONS: A single dose of 600,000 IU of cholecalciferol does not directly enhance handgrip strength in young women with vitamin D deficiency. More studies are needed on the indirect effect of the hormone on muscle. DOCEND
1573972	T1	out	DOCSTART 	Ovarian opioids	 and the reproductive cycle of the frog Rana esculenta. In mammals, proopiomelanocortin-related peptides are involved in reproductive processes both at the hypothalamo-pituitary and ovarian levels. Using immunocytochemical, biochemical and physiological "in vitro" studies, we provide here evidence for a diffuse POMC-related opioid system in the frog Rana esculenta. Ovarian beta-endorphin (beta-EP) is expressed in thecal cells and changes during the reproductive cycle in an inverse relationship with follicular development. Seasonal changes in the ovary are different to those in the brain or in the pituitary. The ratio of acetylated vs native beta-EP in the ovary also changes over the reproductive
7291992	T2	che	DOCSTART Effect of 	indomethacin	 on intestinal tumors induced in rats by the acetate derivative of dimethylnitrosamine. Over the course of 20 weeks, Sprague-Dawley rats developed intestinal tumors in response to an intraperitoneal injection of the acetate derivative of dimethylnitrosamine. The same agent did not induce tumors in Lobund-Wistar rats. The number of tumors was significantly smaller in rats given drinking water containing indomethacin (beginning 14 days after the injections) than in control rats given drug-free water. DOCEND
7599589	T17	out	DOCSTART Building and maintaining a library Gopher: traditional skills applied to emerging resources. Gopher software has emerged rapidly as a powerful tool for providing library users with organized access to Internet resources. Building and maintaining Gophers is one way in which librarians' traditional knowledge and 	skills	 are being applied in a nontraditional area. In March 1992, the University of Michigan's ULibrary Gopher was created, mainly as a means of providing access to U.S. Census data and the U.S. Department of Commerce's Economic Bulletin Board. In an effort to broaden the scope of the Gopher, librarians were asked to submit ideas for new resources to access. The result was the ULibrary Gopher Working Group, a team of eighteen librarians from six libraries on campus. The Alfred Taubman Medical Library staff drafted a menu design for life sciences resources and received basic UNIX training. In March 1993, the
16424008	T4	dis	DOCSTART Nitric oxide is a factor in the stabilization of hypoxia-inducible factor-1alpha in 	cancer	: role of free radical formation. Widespread expression of the alpha-subunit of hypoxia-inducible factor (HIF-1alpha) was observed in samples of human oral squamous cell carcinoma. In all the cases, this was accompanied by a widespread distribution of nitric oxide (NO) synthases (NOS). Furthermore, in three human cell lines derived from human oral squamous cell carcinoma, the accumulation of HIF-1alpha was prevented either by inhibition of NOS activity with the nonspecific NOS inhibitor N(G)-monomethyl-L-arginine or by the antioxidants N-acetyl-L-cysteine and ascorbic acid. We suggest that, in certain forms of cancer, NO might be responsible for the accumulation of HIF-1alpha by a mechanism
18570431	T23	che	the determination of esters in distilled spirits. The limit of detection ranged from 29 (ethyl hexanoate) to 530 (ethyl acetate) microg L(-1), whereas the standard deviation for repeatability was between 0.774% (ethyl hexanoate) and 5.05% (isoamyl octanoate). Relative standard deviation values for accuracy vary from 90.3 to 98.5% for ethyl butyrate and ethyl acetate, respectively. Ethyl acetate was shown to be the major ester in cachaca (median content of 22.6 mg 100 mL(-1) anhydrous alcohol), followed by ethyl lactate (median content of 8.32 mg 100 mL(-1) anhydrous alcohol). Cachaca produced in copper and hybrid alembic present a higher content of 	ethyl acetate	 and ethyl lactate than those produced in a stainless-steel column, whereas cachaca produced by distillation in a stainless-steel column present a higher content of ethyl octanoate, ethyl decanoate, and ethyl laurate. As expected, ethyl acetate is the major ester in whiskey and rum, followed by ethyl lactate for samples of rum. Nevertheless, whiskey samples exhibit ethyl lactate at contents lower or at the same order of magnitude of the fatty esters. DOCEND
8239972	T56	out	of initial value: assessment at several phases of the menstrual cycle. Genital responses to erotic film and fantasy were recorded from 10 women at five phases of the menstrual cycle by means of vaginal photoplethysmography. Relationships between baseline (prestimulation) and difference (stimulation minus prestimulation) levels of response were examined. Neither vaginal blood volume nor average pulse amplitude conformed to the law of initial value ("the higher the baseline level, the less will be the difference score"). Baseline levels and difference scores generally were positively correlated at each phase of the menstrual cycle in the case of average pulse amplitude. For 	blood volume	 the correlations between baseline levels and difference scores were inconsistent in direction and small in magnitude, but trends differed between phases of the menstrual cycle. It is recommended that measures of female sexual arousal obtained through testing women who are at different phases of the cycle should not be aggregated unless it is established that the relationship between baseline levels and difference scores is uniform across phases. DOCEND
9483569	T36	ggp	in the brain, suggesting that it may be involved in nerve function. Here we show that adenomatous polyposis coli is localized in the pericapillary astrocytic endfeet throughout the mouse central nervous system. Adenomatous polyposis coli is also localized in the astrocytic processes in the cerebellar granular layer, and displays concentrated expression in the terminal plexuses of the basket cell fibres around Purkinje cells. Adenomatous polyposis coli is further expressed in neuronal cell bodies and/or nerve fibres in the olfactory bulb, hippocampus, brain stem, spinal cord and dorsal root ganglia. Adenomatous polyposis coli is demonstrated to be co-localized with beta-catenin and/or 	hDLG	 in neurons and nerve fibres, but not in astrocytes. From these results, adenomatous polyposis coli is suggested to participate in a signal transduction pathway in astrocytes which is independent of beta-catenin and hDLG, and also in regulation of neuronal functions in association with beta-catenin and hDLG. DOCEND
3498482	T126	out	bond. The quantitative analysis of the binding curves provides a dissociation constant (K) of 200 nM for the interaction between C1q and immune precipitate formed from native IgG. Surprisingly, for immune precipitates composed of Facb fragments or IgG in which the inter-heavy-chain disulphide bond had been selectively reduced and alkylated, stronger binding (K = 30 nM) was observed. In this case, however, changes in the structure of the immune-complex matrix were also detected. These structural changes may account for the strengthening of the C1q-immune-complex interaction, which can be strongly influenced by the flexibility and the binding-site pattern of the immune-complex precipitates. 	These results	 suggest that domain-domain interactions in the Fc part of IgG affect the segmental mobility of IgG molecules and the spatial arrangement of the immune-complex matrix rather than the affinity of individual C1q-binding sites on IgG. DOCEND
25658587	T6	che	signaling pathways and related genes during differentiation of male germ cells in chickens, with the hope that better understanding of these pathways may improve in vitro induction. Fluorescence-activated cell sorting was used to obtain highly purified cultures of embryonic stem cells (ESCs), primitive germ cells (PGCs), and spermatogonial stem cells (SSCs). The total RNA was then extracted from each type of cell. High-throughput analysis methods (RNA-seq) were used to sequence the transcriptome of these cells. Gene Ontology (GO) analysis and the KEGG database were used to identify lipid metabolism pathways and related genes. Retinoic acid (RA), the end-product of the 	retinol	 metabolism pathway, induced in vitro differentiation of ESC into male germ cells. Quantitative real-time PCR (qRT-PCR) was used to detect changes in the expression of the genes involved in the retinol metabolic pathways. From the results of RNA-seq and the database analyses, we concluded that there are 328 genes in 27 lipid metabolic pathways continuously involved in lipid metabolism during the differentiation of ESC into SSC in vivo, including retinol metabolism. Alcohol dehydrogenase 5 (ADH5) and aldehyde dehydrogenase 1 family member A1 (ALDH1A1) are involved in RA synthesis in the cell. ADH5 was specifically expressed in PGC in our experiments
22398216	T34	out	DOCSTART Single institutional analysis of trends over 45 years in etiology of vocal fold paralysis. OBJECTIVE: It is important to assess the causes of vocal fold paralysis. Many studies have reported causes of paralysis, but few reports have shown changes in longitudinal etiology in a single institution. METHODS: We investigated the medical records of 797 patients with vocal fold paralysis from 1990 to 2005 at the voice and bronchoesophageal outpatient clinics at the University of Tokyo Hospital. We evaluated 	the etiology	 of paralysis, and compared our results with a previous study by Hirose in our clinic from 1961 to 1989 to assess changes in etiology. RESULTS: The postoperative group comprised 466 patients (58.5%), while the non-surgical group comprised 331 (41.5%) patients. In the postoperative group, the most common cause of paralysis was thyroid surgery (106 cases), and other common causes were surgery for aortic aneurysm (61 cases) and tracheal intubation (58 cases). In the non-surgical group, idiopathic paralysis (134 cases) was the most common cause. Other common causes were lung cancer (34 cases) and cerebrovascular disease (24 cases). In a previous
24526686	T48	ggp	which binds to phospholipids in a Ca(2+)-dependent manner and may organize microdomains, is codistributed with NKCC2 to promote its apical translocation in response to AVP stimulation and low chloride hypotonic stress. NKCC2 and AnxA2 interact in a phosphorylation-dependent manner. Phosphomimetic AnxA2 carrying a mutant phosphoacceptor (AnxA2-Y24D-GFP) enhanced surface expression and raft association of NKCC2 by 5-fold upon low chloride hypotonic stimulation, whereas AnxA2-Y24A-GFP and PKC-dependent AnxA2-S26D-GFP did not. As the AnxA2 effect involved only nonphosphorylated NKCC2, it appears to affect NKCC2 trafficking. Overexpression or knockdown experiments further supported the role of AnxA2 in the apical translocation and surface expression of 	NKCC2	. In summary, this study identifies AnxA2 as a lipid raft-associated trafficking factor for NKCC2 and provides mechanistic insight into the regulation of this essential cotransporter. DOCEND
11829628	T35	out	DOCSTART Extraction of natural vitamin E from wheat germ by supercritical carbon dioxide. An efficient supercritical fluid extraction (SFE) process with carbon dioxide (SFE-CO(2)) was developed for the extraction of natural vitamin E (V(E)) from wheat germ. Both the pretreatment of extracted wheat germ and 	extraction	 conditions were optimized to ensure maximal V(E) yield. The extraction was undertaken at the extracting pressure of 4000-5000 psi, the extracting temperature of 40-45 degrees C, and the carbon dioxide flow rate of 2.0 mL/min for 90 min. An optimized pretreatment of wheat germ was usually necessary with a particle size of 30 mesh and a moisture content of 5.1%. A yield comparison of V(E) and its isomers extracted by supercritical CO(2) with those by conventional solvent extraction suggested that this SFE process was a practical process prospectively superior to conventional solvent extraction to prepare V(E) from wheat germ. DOCEND
17517919	T20	org	A structural basis for interferon-alpha-receptor interactions. Interferon (IFN)-alpha subtypes exhibit differences in biological potencies based on their affinity interactions with the IFN receptor subunits, IFNAR1 and IFNAR2. Using available three-dimensional structural information and computational biology, homology models of human IFN-alpha1, human IFN-alpha8, IFN alfacon-1, and murine IFN-alpha4 were derived and docked with the extracellular region of human IFNAR2 to evaluate the behavior of potential interacting residue pairs and characterize the nature of the IFN-IFNAR2 binding interfaces. The data suggest that IFN afacon-1 has 9 optimal interactions with IFNAR2, comprising hydrophobic, electrostatic, and hydrogen bonding. Human IFN-alpha2 exhibits 8 optimal interactions, 	human	 IFN-alpha1, 7, and murine IFN-alpha4 exhibits the least number of optimal interactions, at 5. A model of IFNAR1 was generated, taking into consideration the IFNAR1 extracellular domain interaction with cell surface glycosphingolipids, putative ligand interaction residues, and residues stabilizing the structural integrity of IFNAR. IFNAR1 was then docked with the various IFN-IFNAR2 complexes to describe the complete extracellular receptor pocket with bound IFN. These data provide insights into the species specificity of IFN-alphas: residues in murine IFN-alpha4 that preclude strong affinity interactions with human IFNAR because of steric crowding and residues in human IFN-alpha8 that resemble a receptor interactive domain
9279374	T38	out	DOCSTART Deoxyribonucleic acid methylation and chromatin organization in Tetrahymena thermophila. Deoxyribonucleic acid (DNA) of the transcriptionally active macronucleus of Tetrahymena thermophila is methylated at the N6 position of adenine to produce methyladenine (MeAde); approximately 1 in every 125 adenine residues (0.8 mol%) is methylated. Transcriptionally inert micronuclear DNA is not methylated (< or = 0.01 mol% MeAde; 	M. A. Gorovsky	, S. Hattman, and G. L. Pleger, J. Cell Biol. 56:697-701, 1973). There is no detectable cytosine methylation in macronuclei in Tetrahymena DNA (< or = 0.01 mol% 5-methylcytosine). MeAde-containing DNA sequences in macronuclei are preferentially digested by both staphylococcal nuclease and pancreatic deoxyribonuclease I. In contrast, there is no preferential release of MeAde during digestion of purified DNA. These results indicate that MeAde residues are predominantly located in "linker DNA" and perhaps have a function in transcription. Pulse-chase studies showed that labeled MeAde remains preferentially in linker DNA during subsequent rounds of DNA replication; i.e., there is little, if any, movement of
6553561	T10	che	DOCSTART New synthetic inhibitor to the alternative complement pathway. The inhibitory effects of 6-amidino-2-naphthyl 4-guanidinobenzoate (FUT-175) on the activities of factor B, factor D and cobra venom factor (CVF) X Bb were examined. FUT-175 bound specifically to the Bb fragment of factor B or CVF X Bb. 	FUT-175	 was a non-competitive inhibitor of the esterolysis of L-leucyl-L-alanyl-L-arginine naphthylester by factor B and CVF X Bb. FUT-175 also inhibited the haemolytic activity of factor B, the C3 convertase activity of CVF X Bb and the factor B-cleaving activity of factor D. The concentration of FUT-175 causing 50% inhibition of these activities was 10(-5) - 10(-4)M. DOCEND
10769811	T130	out	time was recorded and repeated after an interval of one week. The 20% level and the declination angle of the refill time was determined and differences between the experimental and control groups analyzed by ANOVA. The results between the first and second sessions were consistent and reproducible with or without the electromagnetic application, with no change of radiotracer transport from the injection site or arrival at the inguinal nodes. There was also a high correlation between the scores for the 50% level and declination angle (r = 0.97) after LRR. Thus, after ED there was an accelerated venous refill time. In 	conclusion	, after ED there was no increase in lymph flow but there was accelerated venous return. DOCEND
24371091	T1	org	DOCSTART Offending and victimization: the 	chicken	 or the egg? How to react to violence without causing traumatization and further violence? DOCEND
21869045	T7	out	DOCSTART Dot pattern processing using voronoi neighborhoods. A sound notion of the neighborhood of 	a point	 is essential for analyzing dot patterns. The past work in this direction has concentrated on identifying pairs of points that are neighbors. Examples of such methods include those based on a fixed radius, k-nearest neighbors, minimal spanning tree, relative neighborhood graph, and the Gabriel graph. This correspondence considers the use of the region enclosed by a point's Voronoi polygon as its neighborhood. It is argued that the Voronoi polygons possess intuitively appealing characteristics, as would be expected from the neighborhood of a point. Geometrical characteristics of the Voronoi neighborhood are used as features in dot pattern processing. Procedures for segmentation,
12215545	T13	ggp	with and regulates the activity of the nuclear hormone receptor coactivator NRC. We previously reported the cloning and characterization of a novel nuclear hormone receptor transcriptional coactivator, which we refer to as NRC. NRC is a 2,063-amino-acid nuclear protein which contains a potent N-terminal activation domain and several C-terminal modules which interact with CBP and ligand-bound nuclear hormone receptors as well as c-Fos and c-Jun. In this study we sought to clone and identify novel factors that interact with NRC to modulate its transcriptional activity. Here we describe the cloning and characterization of a novel protein we refer to as 	NIF-1	 (NRC-interacting factor 1). NIF-1 was cloned from rat pituitary and human cell lines and was found to interact in vivo and in vitro with NRC. NIF-1 is a 1,342-amino-acid nuclear protein containing a number of conserved domains, including six Cys-2/His-2 zinc fingers, an N-terminal stretch of acidic amino acids, and a C-terminal leucine zipper-like motif. Zinc fingers 1 to 3 are potential DNA-binding BED finger domains recently proposed to play a role in altering local chromatin architecture. We mapped the interaction domains of NRC and NIF-1. Although NIF-1 does not directly interact with nuclear receptors, it markedly enhances ligand-dependent transcriptional
11069526	T19	out	DOCSTART Malignant schwannoma with melanocytic differentiation arising in a patient with neurofibromatosis. A 50-year-old woman with von Recklinghausen's disease, but not Carney's complex, presented with a 1-year history of a hard subcutaneous mass on 	her right hip	 and right inguinal lymphadenopathy. Histological and immunohistochemical studies of the tumour revealed schwannian and melanocytic characteristics. Local recurrence without distant metastases was observed 5 years later. Although the diagnosis of malignant schwannoma with melanocytic differentiation, rather than neurotropic melanoma, was made for the primary tumour, based on the clinicohistopathological and ultrastructural findings, the overall clinical course in this case did not seem incompatible with malignant melanocytic schwannoma. DOCEND
25780798	T15	ggp	DOCSTART Voltage-gated sodium channels in the mammalian heart. Mammalian species express nine functional voltage-gated Na(+) channels. Three of them, the cardiac-specific isoform Nav1.5 and the neuronal isoforms Nav1.8 and Nav1.9, are relatively resistant to the neurotoxin tetrodotoxin (TTX; IC50 >= 1 muM). The other six isoforms are highly sensitive to TTX with IC50 values in the nanomolar range. These isoforms are expressed in the central nervous system (Nav1.1, Nav1.2, Nav1.3, Nav1.6), in the skeletal muscle (Nav1.4), and in the peripheral nervous system (Nav1.6, Nav1.7). The isoform 	Nav1.5	, encoded by the SCN5A gene, is responsible for the upstroke of the action potential in the heart. Mutations in SCN5A are associated with a variety of life-threatening arrhythmias, like long QT syndrome type 3 (LQT3), Brugada syndrome (BrS) or cardiac conduction disease (CCD). Previous immunohistochemical and electrophysiological assays demonstrated the cardiac expression of neuronal and skeletal muscle Na(+) channels in the heart of various mammals, which led to far-reaching speculations on their function. However, when comparing the Na(+) channel mRNA patterns in the heart of various mammalian species, only minute quantities of transcripts for TTX-sensitive Na(+) channels were detectable in
19191849	T76	out	alone or postoperative sequential chemoradiotherapy without receiving postoperative concurrent chemoradiotherapy) after radical surgery, were retrospectively reviewed from January 1996 to December 2003. Univariate and multivariate analyses were performed using log-rank and Cox proportional hazard models, and survival curves were estimated using the Kaplan-Meier method. The 1-, 3- and 5-year overall survival rates of all 126 patients were 71.4, 39.1, and 22.0%, and disease-free survival rates were 64.3, 36.4, and 21.5%, respectively. Lymph node ratio (the ratio of the number of metastatic lymph nodes to the number of lymph nodes removed, LNR) > or = 0.2 (P= 0.006), pT3 + pT4 (P= 0.06) and 	sequential chemoradiotherapy	 (P= 0.08) were associated with a poorer survival by univariate analysis. In multivariate analysis, LNR (P= 0.01, hazard ratio = 0.57, 95% confidence interval, 0.37-0.87) and tumor depth of invasion (P= 0.03, hazard ratio = 0.62, 95% confidence interval, 0.41-0.96) were the independent predictors of survival. Sequential chemoradiotherapy receded survival tendency without significant difference (P= 0.09, hazard ratio = 0.64, 95% confidence interval, 0.37-1.08). Therefore, LNR and tumor depth of invasion were the independent prognostic factors of radiotherapy in patients with node-positive thoracic esophageal squamous cell carcinoma after radical surgery. The addition of chemotherapy does not seem to confer a survival benefit. DOCEND
12848832	T1	dis	DOCSTART Psychosocial intervention for rural women with 	breast cancer	: The Sierra-Stanford Partnership. OBJECTIVE: This study was initiated by breast cancer survivors living in a rural community in California. They formed a partnership with academic researchers to develop and evaluate a low-cost, community-based Workbook-Journal (WBJ) for improving psychosocial functioning in geographically and economically isolated women with primary breast cancer. DESIGN: A randomized controlled trial was used to compare the WBJ intervention plus educational materials to educational materials alone (usual care). SETTING: One rural cancer center and several private medical, surgical, and radiation oncology practices in 7 rural counties in the Sierra Nevada Foothills of California. PARTICIPANTS: One hundred women with
8301208	T43	out	DOCSTART Effects of endotoxin injury on endothelial cell adenosine metabolism. Adenosine is a potent autocoid that acts as a vasodilator and modulator of inflammatory responses. Endothelial cells possess several mechanisms for altering circulating levels of adenosine and are capable of release of adenosine metabolites. We used cultured bovine aortic and main pulmonary arterial endothelial cells to determine whether endotoxin can alter adenosine uptake or release of adenosine metabolites. We found that 24 hours, but not 6 hours, of incubation with endotoxin caused endothelial cell injury, as assessed by 	cell detachment	 and chromium 51 release. Despite this injury the extent of [3H]adenosine uptake was unchanged. Using thin-layer chromatography to identify adenosine and its metabolites, we found that [3H]adenosine was primarily metabolized into intracellular hypoxanthine and adenine nucleotides. After 1, 6, and 24 hours of incubation with endotoxin there was an increase in extracellular adenosine metabolites, which was accompanied by decreases in the level of intracellular adenosine 5'-triphosphate. The appearance of adenosine metabolites in culture supernatants was a more sensitive measure of endothelial cell injury than 51Cr release or adherent cell number. The extracellular purine metabolite observed in response to endotoxin injury
3982854	T9	org	DOCSTART Mycoses, bacterial infections and antibacterial activity in sandflies (Psychodidae) and their possible role in the transmission of leishmaniasis. High incidence of mycoses were found in the guts and malpighian tubes of Phlebotomus papatasi from the Jordan Valley and P. tobbi from Zakinthos, Greece. Infections with several different bacteria were also found in the guts of female P. tobbi. Fungi cultured from guts of laboratory reared P. papatasi that had similar mycoses were identified as Aspergillus sclerotiorum and 	Saccharomyces cerevisiae	. Fungi-infected laboratory reared P. papatasi were refractory to artificial infections with a Leishmania major strain specific to them. The crop contents of P. papatasi, where sugar meals are stored, demonstrated antibacterial activity against the following bacterial species in culture: Escherichia coli, Staphylococcus aureus, Shigella sonnei, Streptococcus group A and Pseudomonas aeruginosa. It is postulated that the bacteria-free gut normal to sandflies is effected by the bacterial inhibitor present in the crop. DOCEND
18998308	T105	out	colleges and universities were excluded from the study. Knowledge was assessed as a continuous variable. Risk factors for CAD were taken as categorical variables RESULTS: The mean age of students was 20 yrs +/- 2.2 years and 62% were females. The mean score of knowledge about risk factors of CAD was 11.47 +/- 2.37. Sixty percent students thought that heart diseases are the number one cause of death in our population. Twenty five percent students graded smoking as the top most risk factor for CAD. Twenty five percent students refused to quit smoking for CAD prevention. Forty eight percent students correctly defined 	coronary angiography	. Eighty five percent students thought that cost is the major hindrance in getting timely treatment. Knowledge of fifty percent students was based on personal and family experience of heart disease. CONCLUSION: Students graded smoking as the topmost risk factor for CAD and cost as the major hindrance in getting timely treatment for heart disease. Only half of the students were aware about coronary angiography. The mean knowledge score among them was above the median score but not up to the mark. DOCEND
15028841	T6	org	DOCSTART Mitogenic activity of tracheal effluents from premature infants with chronic lung disease. Lung injury alters the expression and release of growth factors that disrupt postnatal pulmonary development in newborns and causes chronic lung disease (CLD). The effect of these factors, released into the airways of newborns with CLD, on cell proliferation and collagen production was characterized in vitro. 	Human	 fetal lung fibroblast and alveolar-epithelial-like cell lines (FHs 738Lu and A549, respectively) were exposed to tracheal effluents from infants with CLD (mean gestation, 24.7 +/- 0.9 wk; birth weight, 666 +/- 85 g; postnatal age, 0-62 d). In both cell types, proliferation was assessed by measuring [(3)H]-thymidine uptake; in fibroblasts, collagen production was analyzed by measuring [(3)H]-proline incorporation. The activity of specific growth factors in effluents was determined using anti-growth factor antibodies and the growth factors themselves. Growth factors in tracheal effluents promoted proliferation in a dose-dependent manner and caused up to a 10.2- and 3.1-fold increase in thymidine uptake by fibroblasts
24900214	T30	out	DOCSTART Fluorinated Benzofuran Derivatives for PET Imaging of beta-Amyloid Plaques in Alzheimer's Disease Brains. A series of fluorinated benzofuran derivatives as potential tracers for positron emission tomography (PET) targeting beta-amyloid plaques in the brains of patients with Alzheimer's disease (AD) were synthesized and evaluated. 	The derivatives	 were produced using an intramolecular Wittig reaction. In experiments in vitro, all displayed high affinity for Abeta(1-42) aggregates with K i values in the nanomolar range. Radiofluorinated 17, [(18)F]17, in particular labeled beta-amyloid plaques in sections of Tg2576 mouse brain and displayed high uptake (5.66% ID/g) at 10 min postinjection, sufficient for PET imaging. In addition, in vivo beta-amyloid plaque labeling can be clearly demonstrated with [(18)F]17 in Tg2576 mice. In conclusion, [(18)F]17 may be useful for detecting beta-amyloid plaques in patients with AD. DOCEND
1999271	T18	che	sequence of the cDNA for GLUT1. A peptide corresponding to the COOH-terminal domain of the GLUT1 glucose transporter (Thr-Pro-Glu-Glu-Leu-Phe-His-Pro-Leu-Gly-Ala-Asp-Ser-Gln-Val) was synthesized and conjugated to keyhole limpet hemocyanin through the NH2-terminal of the peptide. An antibody was raised against this complex and affinity purified with the immobilized peptide. A second peptide, with tyrosine residue added to the NH2-terminal of the above peptide, was synthesized and used as a standard and iodinated for preparation of the radioactive ligand. The assay is highly reproducible, sensitive, and specific for the COOH-terminal domain of the GLUT1 glucose transporter. It has no cross-reactivity with the other 	glucose	-transporter isoforms GLUT2 and GLUT4. Furthermore, the results obtained with this radioimmunoassay on the number of glucose transporters in human erythrocytes were in good agreement with previous studies based on cytochalasin B binding, suggesting that this radioimmunoassay is able to quantify the number of glucose transporters. The assay is completed within 4 h and can be used for simultaneous measurement of GLUT1 in many samples. In addition, it can be applied to the measurement of GLUT1 in several types of tissue. DOCEND
29424025	T26	che	DOCSTART Nrf2-mediated neuroprotection against oxygen-glucose deprivation/reperfusion injury by emodin via AMPK-dependent inhibition of GSK-3beta. OBJECTIVES: Our study verified the neuroprotective properties of emodin against oxygen-glucose deprivation/reoxygenation (OGD/R) and demonstrated its mechanism. METHODS: Human neuronal SH-SY5Y cells were investigated by analysing cell viability, lactate dehydrogenase levels, expression of molecules related to apoptotic cell death, and using biochemical techniques, flow cytometry and Western blot assays. KEY FINDINGS: Emodin reduced OGD/R-lead to neurotoxicity in SH-SY5Y cells. OGD/R significantly increased levels of cleaved 	poly ADP ribose	 polymerase, cleaved caspase-3, cleaved caspase-9, p53, p21 and Bax protein. However, emodin treatment effectively inhibited these OGD/R-induced changes. Emodin treatment also increased HO-1 and NQO1 expression in a concentration- and time-dependent manner and caused antioxidant response element (ARE) transcription activity and nuclear Nrf2 accumulation. Emodin phosphorylated AMPK and GSK3beta, and pretreatment of cells with an AMPK inhibitor suppressed emodin-induced nuclear Nrf2 accumulation and HO-1 and NQO1 expression. AMPK inhibitor treatment decreased GSK3beta phosphorylation, suggesting that AMPK is upstream of GSK3beta, Nrf2, HO-1 and NQO1. Emodin's neuroprotective effect was completely blocked by HO-1, NQO1 and Nrf2 knock-down and an AMPK inhibitor,
21852759	T83	out	some of which are strictly ABA-dependent in that their expression is almost undetectable in absence of elevated levels of cellular ABA. Since the function of these proteins may only be required transiently, a regulatory mechanism for transcriptionally and/or post-translationally regulate their expression should exist. In general during stress, molecular mechanisms aimed at shutting down the ABA-dependent signaling, as required at some point for the homeostasis of the plant cell, are poorly understood. The arabidopsis TSPO (translocator protein)-related protein is transiently induced by abiotic stresses and ABA treatment. Our recent work aiming at understanding the function and regulation of At-TSPO yielded 	exciting insights	 into the interplay among a stress-regulated protein, ABA responses, tetrapyrrole biosynthesis/scavenging, and autophagy. We discuss these findings in relation to tetrapyrroles metabolism/trafficking and the regulation of ABA-dependent signaling by the plant cell. DOCEND
26633544	T20	ggp	population prevalence of these non-HFE forms of HH. METHODS: A list of HH pathogenic variants in publically available next-generation sequence (NGS) databases was compiled and allele frequencies were determined. RESULTS: Of 161 variants previously associated with HH, 43 were represented among the NGS data sets; an additional 40 unreported functional variants also were identified. The predicted prevalence of HFE HH and the p.Cys282Tyr mutation closely matched previous estimates from similar populations. Of the non-HFE forms of iron overload, TFR2-, HFE2-, and HAMP-related forms are predicted to be rare, with pathogenic allele frequencies in the range of 0.00007 to 0.0005. Significantly, 	SLC40A1	 variants that have been previously associated with autosomal-dominant ferroportin disease were identified in several populations (pathogenic allele frequency 0.0004), being most prevalent among Africans. CONCLUSION: We have, for the first time, estimated the population prevalence of non-HFE HH. This methodology could be applied to estimate the population prevalence of a wide variety of genetic disorders.Genet Med 18 6, 618-626. DOCEND
